iso_code;country;year;co2;co2_per_capita;trade_co2;cement_co2;cement_co2_per_capita;coal_co2;coal_co2_per_capita;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;oil_co2;oil_co2_per_capita;co2_growth_prct;co2_growth_abs;co2_per_unit_energy;cumulative_co2;cumulative_cement_co2;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_oil_co2;cumulative_other_co2;share_global_co2;share_global_cement_co2;share_global_coal_co2;share_global_flaring_co2;share_global_gas_co2;share_global_oil_co2;share_global_other_co2;share_global_cumulative_co2;share_global_cumulative_cement_co2;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_oil_co2;population;gdp;primary_energy_consumption;energy_per_capita
AFG;Afghanistan;2020;12.16;0.312;;0.061;0.002;7.508;0.193;;;0.314;0.008;4.277;0.11;0.11;0.014;;192.849;2.504;60.405;;20.15;103.833;;0.03;0.0;0.05;;0.0;0.04;;0.01;0.01;0.01;;0.01;0.02;38928341.0;;;
;Africa;2020;1.326.044;0.99;;77.025;0.058;446.097;0.333;44.459;0.033;287.016;0.214;471.446;0.352;-5.85;-82.435;0.407;47.610.745;1.862.331;20.304.718;2.786.571;5.948.864;16.708.261;;3.81;4.74;3.19;10.22;3.88;4.26;;2.81;4.31;2.58;15.66;2.43;2.82;1340598111.0;;5.162.275;3.850.725
ALB;Albania;2020;4.535;1.576;;0.78;0.271;0.461;0.16;;;0.153;0.053;3.14;1.091;-6.76;-0.329;;285.503;19.484;66.964;;16.602;182.453;;0.01;0.05;0.0;;0.0;0.03;;0.02;0.05;0.01;;0.01;0.03;2877800.0;;;
DZA;Algeria;2020;154.995;3.535;;10.749;0.245;1.099;0.025;5.599;0.128;88.219;2.012;49.33;1.125;-6.99;-11.646;0.243;4.587.132;229.286;116.449;588.666;2.062.656;1.590.074;;0.45;0.66;0.01;1.29;1.19;0.45;;0.27;0.53;0.01;3.31;0.84;0.27;43851043.0;;638.496;14.560.575
AND;Andorra;2020;0.466;6.035;;;;;;;;;;0.466;6.035;-7.08;-0.036;;15.071;;;;;15.071;;0.0;;;;;0.0;;0.0;;;;;0.0;77265.0;;;
AGO;Angola;2020;22.198;0.675;;1.937;0.059;;;7.867;0.239;1.314;0.04;11.08;0.337;-5.49;-1.289;;682.26;26.912;;288.528;40.78;324.439;;0.06;0.12;;1.81;0.02;0.1;;0.04;0.06;;1.62;0.02;0.05;32866267.0;;;
AIA;Anguilla;2020;0.123;8.227;;;;;;;;;;0.123;8.227;-11.51;-0.016;;3.421;;;;;3.421;;0.0;;;;;0.0;;0.0;;;;;0.0;15002.0;;;
ATA;Antarctica;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
ATG;Antigua and Barbuda;2020;0.43;4.395;;;;;;;;;;0.43;4.395;-11.51;-0.056;;21.527;;;;;21.527;;0.0;;;;;0.0;;0.0;;;;;0.0;97928.0;;;
ARG;Argentina;2020;156.978;3.473;;3.649;0.081;2.816;0.062;1.847;0.041;86.702;1.918;61.965;1.371;-6.32;-10.588;0.18;8.431.213;197.058;537.442;184.48;2.868.907;4.643.326;;0.45;0.22;0.02;0.42;1.17;0.56;;0.5;0.46;0.07;1.04;1.17;0.78;45195777.0;;874.612;19.351.623
ARM;Armenia;2020;5.89;1.988;;0.315;0.106;0.004;0.002;;;4.873;1.644;0.698;0.236;6.54;0.362;;383.336;14.831;43.765;;157.331;165.259;;0.02;0.02;0.0;;0.07;0.01;;0.02;0.03;0.01;;0.06;0.03;2963234.0;;;
ABW;Aruba;2020;0.753;7.055;;;;;;;;;;0.753;7.055;-11.51;-0.098;;75.921;;;;;75.921;;0.0;;;;;0.01;;0.0;;;;;0.01;106766.0;;;
;Asia;2020;20.317.058;4.379;;1.315.197;0.284;11.139.156;2.401;141.588;0.03;2.954.287;0.637;4566.48;0.984;-1.41;-291.534;0.251;532.916.155;26.509.177;281.003.765;6377.15;57.253.253;156.292.299;5.480.512;58.37;80.87;79.7;32.55;39.93;41.24;67.29;31.41;61.42;35.64;35.84;23.35;26.37;4639847425.0;;;
;Asia (excl. China & India);2020;7.207.379;3.959;;334.056;0.184;2.130.503;1.17;139.909;0.077;2.222.049;1.221;2.352.049;1.292;-3.81;-285.257;0.228;242.935.653;9.229.001;68550.83;6.180.302;48.790.943;109.432.079;752.499;20.71;20.54;15.24;32.16;30.03;21.24;9.68;14.32;21.38;8.7;34.73;19.9;18.47;;;;
AUS;Australia;2020;391.892;15.368;;3.025;0.119;159.817;6.267;20.341;0.798;80.208;3.145;124.606;4.886;-5.46;-22.625;0.253;18635.75;192.373;10.231.205;287.304;2082.69;5.731.696;110.483;1.13;0.19;1.14;4.68;1.08;1.13;1.31;1.1;0.45;1.3;1.61;0.85;0.97;25499881.0;;1546.83;60.660.293
AUT;Austria;2020;60.635;6.732;;1.771;0.197;10.205;1.133;0.118;0.013;17.037;1.892;30.342;3.369;-10.78;-7.328;0.158;5.505.509;137.848;2.730.362;4.663;722.562;1.875.277;34.797;0.17;0.11;0.07;0.03;0.23;0.27;0.39;0.32;0.32;0.35;0.03;0.29;0.32;9006400.0;;384.36;42.676.308
AZE;Azerbaijan;2020;37.72;3.72;;1.083;0.107;0.004;0.0;2.667;0.263;23.405;2.308;10.561;1.042;-2.59;-1.005;0.218;2.503.756;30.8;24.287;51.843;1.035.549;1.361.277;;0.11;0.07;0.0;0.61;0.32;0.1;;0.15;0.07;0.0;0.29;0.42;0.23;10139175.0;;172.744;17.037.319
BHS;Bahamas;2020;2.338;5.945;;;;0.008;0.021;;;;;2.329;5.923;-11.38;-0.3;;169.519;;0.271;;;164.987;;0.01;;0.0;;;0.02;;0.01;;0.0;;;0.03;393248.0;;;
BHR;Bahrain;2020;34.96;20.546;;0.524;0.308;;;;;30.83;18.118;3.606;2.119;1.51;0.521;;926.303;7.325;;;705.17;213.655;;0.1;0.03;;;0.42;0.03;;0.05;0.02;;;0.29;0.04;1701583.0;;;
BGD;Bangladesh;2020;92.842;0.564;;1.461;0.009;14.751;0.09;;;59.226;0.36;17.404;0.106;-1.46;-1.373;0.21;1.562.306;23.038;119.442;;969.642;450.183;;0.27;0.09;0.11;;0.8;0.16;;0.09;0.05;0.02;;0.4;0.08;164689383.0;;442.121;2.684.575
BRB;Barbados;2020;1.087;3.782;;0.071;0.246;;;;;0.054;0.188;0.962;3.348;-10.58;-0.129;;54.875;3.627;;;1.734;49.423;;0.0;0.0;;;0.0;0.01;;0.0;0.01;;;0.0;0.01;287371.0;;;
BLR;Belarus;2020;57.445;6.079;;2.267;0.24;3.379;0.358;0.002;0.0;34.006;3.599;16.8;1.778;-5.86;-3.577;0.211;4.907.842;86.573;512.624;9.985;1.289.099;2956.73;52.832;0.17;0.14;0.02;0.0;0.46;0.15;0.33;0.29;0.2;0.07;0.06;0.53;0.5;9449321.0;;272.812;28.871.065
BEL;Belgium;2020;83.749;7.226;;2.819;0.243;10.902;0.941;0.116;0.01;35.47;3.06;32.58;2.811;-16.04;-15.997;0.138;12.543.142;220.787;7.523.715;3.243;1.334.425;3.386.795;74.177;0.24;0.17;0.08;0.03;0.48;0.29;0.63;0.74;0.51;0.95;0.02;0.54;0.57;11589616.0;;608.567;52.509.636
BLZ;Belize;2020;0.583;1.466;;;;;;;;0.007;0.018;0.576;1.448;-11.48;-0.076;;19.063;;;;0.068;18.995;;0.0;;;;0.0;0.01;;0.0;;;;0.0;0.0;397621.0;;;
BEN;Benin;2020;6.703;0.553;;0.212;0.018;;;;;0.04;0.003;6.451;0.532;-8.37;-0.612;;111.665;5.505;;;0.327;104.88;;0.02;0.01;;;0.0;0.06;;0.01;0.01;;;0.0;0.02;12123198.0;;;
BMU;Bermuda;2020;0.624;10.028;;;;0.017;0.27;;;;;0.608;9.758;-10.54;-0.074;;29.205;;0.076;;;29.13;;0.0;;0.0;;;0.01;;0.0;;0.0;;;0.0;62273.0;;;
BTN;Bhutan;2020;1.925;2.495;;0.359;0.465;0.965;1.251;;;;;0.601;0.779;-0.11;-0.002;;19.193;4.195;6.259;;;8.738;;0.01;0.02;0.01;;;0.01;;0.0;0.01;0.0;;;0.0;771612.0;;;
BOL;Bolivia;2020;20.7;1.773;;1.439;0.123;0.015;0.001;0.154;0.013;7.69;0.659;11.402;0.977;-13.2;-3.148;;530.155;27.36;0.363;31.365;160.16;310.908;;0.06;0.09;0.0;0.04;0.1;0.1;;0.03;0.06;0.0;0.18;0.07;0.05;11673029.0;;;
BES;Bonaire Sint Eustatius and Saba;2020;0.301;11.466;;;;;;;;;;0.301;11.466;-11.51;-0.039;;30.354;;;;;30.354;;0.0;;;;;0.0;;0.0;;;;;0.01;26221.0;;;
BIH;Bosnia and Herzegovina;2020;21.418;6.528;;0.381;0.116;16.201;4.938;;;0.463;0.141;4.373;1.333;-13.8;-3.429;;954.784;11.141;755.118;;24.318;163.882;;0.06;0.02;0.12;;0.01;0.04;;0.06;0.03;0.1;;0.01;0.03;3280815.0;;;
BWA;Botswana;2020;6.519;2.772;;0.006;0.003;3.738;1.59;;;;;2.775;1.18;-5.86;-0.406;;150.402;0.256;88.074;;;62.069;;0.02;0.0;0.03;;;0.03;;0.01;0.0;0.01;;;0.01;2351625.0;;;
BRA;Brazil;2020;467.384;2.199;;22.198;0.104;55.446;0.261;17.505;0.082;60.331;0.284;305.512;1.437;-3.79;-18.41;0.14;16.238.506;772.08;2420.74;437.667;1.254.632;11.190.142;163.245;1.34;1.36;0.4;4.02;0.82;2.76;2.15;0.96;1.79;0.31;2.46;0.51;1.89;212559409.0;;3.335.555;15.692.344
VGB;British Virgin Islands;2020;0.139;4.605;;;;;;;;;;0.139;4.605;-11.51;-0.018;;5.499;;;;;5.499;;0.0;;;;;0.0;;0.0;;;;;0.0;30237.0;;;
BRN;Brunei;2020;10.158;23.22;;;;;;0.663;1.516;7.529;17.209;1.967;4.495;2.01;0.2;;360.375;;;87.257;183.75;89.365;;0.03;;;0.15;0.1;0.02;;0.02;;;0.49;0.07;0.02;437483.0;;;
BGR;Bulgaria;2020;37.444;5.389;;1.127;0.162;16.762;2.412;0.827;0.119;5.405;0.778;12.125;1.745;-11.32;-4.778;0.195;3831.21;104.743;2.148.148;9.478;336.392;1.206.626;25.824;0.11;0.07;0.12;0.19;0.07;0.11;0.4;0.23;0.24;0.27;0.05;0.14;0.2;6948445.0;;191.651;27.581.901
BFA;Burkina Faso;2020;3.97;0.19;;0.12;0.006;;;;;;;3.85;0.184;-8.45;-0.366;;64.321;2.439;;;;61.882;;0.01;0.01;;;;0.03;;0.0;0.01;;;;0.01;20903278.0;;;
BDI;Burundi;2020;0.602;0.051;;0.027;0.002;0.016;0.001;;;;;0.559;0.047;-14.47;-0.102;;13.057;0.283;0.658;;;12.116;;0.0;0.0;0.0;;;0.01;;0.0;0.0;0.0;;;0.0;11890781.0;;;
KHM;Cambodia;2020;15.326;0.917;;3.316;0.198;4.541;0.272;;;;;7.47;0.447;-0.02;-0.003;;158.244;17.398;22.213;;;118.633;;0.04;0.2;0.03;;;0.07;;0.01;0.04;0.0;;;0.02;16718971.0;;;
CMR;Cameroon;2020;6.889;0.26;;1.124;0.042;;;;;1.215;0.046;4.55;0.171;-6.88;-0.509;;215.092;17.541;;;11.923;185.364;;0.02;0.07;;;0.02;0.04;;0.01;0.04;;;0.0;0.03;26545864.0;;;
CAN;Canada;2020;535.823;14.197;;7.177;0.19;45.118;1.195;15.947;0.422;219.132;5.806;246.355;6.527;-8.0;-46.567;0.142;33.576.743;369.391;9.666.374;603.623;8.046.752;14.804.733;85.87;1.54;0.44;0.32;3.67;2.96;2.22;0.7;1.98;0.86;1.23;3.39;3.28;2.5;37742157.0;;3.785.898;100.309.524
CPV;Cape Verde;2020;0.55;0.989;;;;;;;;;;0.55;0.989;-8.69;-0.052;;13.287;;;;;12.97;;0.0;;;;;0.0;;0.0;;;;;0.0;555988.0;;;
CAF;Central African Republic;2020;0.188;0.039;;;;;;;;;;0.188;0.039;-10.71;-0.023;;10.544;;;;;10.544;;0.0;;;;;0.0;;0.0;;;;;0.0;4829764.0;;;
TCD;Chad;2020;0.912;0.056;;0.136;0.008;;;;;;;0.777;0.047;-9.26;-0.093;;26.058;0.899;;;;25.158;;0.0;0.01;;;;0.01;;0.0;0.0;;;;0.0;16425859.0;;;
CHL;Chile;2020;81.171;4.246;;0.782;0.041;26.082;1.364;0.029;0.002;10.84;0.567;43.438;2.272;-5.76;-4.958;0.182;2.903.063;55.811;901.868;78.689;307.154;1.559.541;;0.23;0.05;0.19;0.01;0.15;0.39;;0.17;0.13;0.11;0.44;0.13;0.26;19116209.0;;446.333;23.348.403
CHN;China;2020;10.667.887;7.412;;858.233;0.596;7.421.101;5.156;;;605.254;0.42;1.611.762;1.12;1.7;177.899;0.264;235.564.013;14.804.851;177201.99;;6.113.508;32.685.039;4.728.013;30.65;52.77;53.1;;8.18;14.56;57.61;13.89;34.3;22.48;;2.49;5.52;1439323774.0;;40.404.443;28.071.824
CXR;Christmas Island;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
COL;Colombia;2020;89.105;1.751;;5.306;0.104;21.682;0.426;0.96;0.019;24.716;0.486;36.441;0.716;-1.45;-1.314;0.182;3.399.103;184.174;745.256;60.957;641.682;1.767.033;;0.26;0.33;0.16;0.22;0.33;0.33;;0.2;0.43;0.09;0.34;0.26;0.3;50882884.0;;490.935;9.648.333
COM;Comoros;2020;0.258;0.297;;;;;;;;;;0.258;0.297;-15.49;-0.047;;5.302;;;;;5.302;;0.0;;;;;0.0;;0.0;;;;;0.0;869595.0;;;
COG;Congo;2020;3.117;0.565;;0.449;0.082;;;;;0.967;0.175;1.701;0.308;-5.3;-0.174;;78.481;3.484;;;9.256;59.993;;0.01;0.03;;;0.01;0.02;;0.0;0.01;;;0.0;0.01;5518092.0;;;
COK;Cook Islands;2020;0.079;4.522;;;;;;;;;;0.079;4.522;0.14;0.0;;2.196;;;;;2.196;;0.0;;;;;0.0;;0.0;;;;;0.0;17564.0;;;
CRI;Costa Rica;2020;7.907;1.552;;0.737;0.145;;;;;;;7.171;1.408;-10.33;-0.911;;255.062;21.388;;;;232.875;;0.02;0.05;;;;0.06;;0.02;0.05;;;;0.04;5094114.0;;;
CIV;Cote d'Ivoire;2020;10.071;0.382;;;;;;;;4.248;0.161;5.823;0.221;-3.9;-0.409;;333.932;;;;76.662;257.27;;0.03;;;;0.06;0.05;;0.02;;;;0.03;0.04;26378275.0;;;
HRV;Croatia;2020;16.982;4.137;;1.184;0.288;1.39;0.339;0.204;0.05;5.436;1.324;8.624;2.101;-4.48;-0.797;0.187;1.078.544;56.876;140.502;18.303;201.443;655.83;5.591;0.05;0.07;0.01;0.05;0.07;0.08;0.05;0.06;0.13;0.02;0.1;0.08;0.11;4105268.0;;90.747;22.105.103
CUB;Cuba;2020;20.152;1.779;;0.716;0.063;0.034;0.003;;;2.113;0.187;17.289;1.526;-10.53;-2.372;;1.614.249;59.098;11.327;;41.555;1502.27;;0.06;0.04;0.0;;0.03;0.16;;0.1;0.14;0.0;;0.02;0.25;11326616.0;;;
CUW;Curacao;2020;3.335;20.323;;;;;;;;0.116;0.71;3.219;19.614;-11.33;-0.426;;559.293;;;;1.032;558.261;;0.01;;;;0.0;0.03;;0.03;;;;0.0;0.09;164100.0;;;
CYP;Cyprus;2020;6.496;5.38;;0.789;0.654;0.057;0.047;;;0.0;0.0;5.625;4.659;-11.5;-0.844;0.23;293.026;33.114;3.883;;0.028;254.689;1.312;0.02;0.05;0.0;;0.0;0.05;0.01;0.02;0.08;0.0;;0.0;0.04;1207361.0;;28.202;23.358.362
CZE;Czechia;2020;87.975;8.215;;1.977;0.185;46.844;4.374;0.081;0.008;17.648;1.648;20.123;1.879;-12.73;-12.838;0.206;11917.74;93.954;9.677.742;8.79;669.346;1420.29;47.618;0.25;0.12;0.34;0.02;0.24;0.18;0.44;0.7;0.22;1.23;0.05;0.27;0.24;10708982.0;;427.106;39882.98
COD;Democratic Republic of Congo;2020;2.477;0.028;;0.714;0.008;;;;;;;1.763;0.02;-7.86;-0.211;;193.184;14.001;;;;133.005;;0.01;0.04;;;;0.02;;0.01;0.03;;;;0.02;89561404.0;;;
DNK;Denmark;2020;26.195;4.522;;1.129;0.195;3.083;0.532;0.195;0.034;4.822;0.832;16.638;2.873;-15.22;-4.702;0.16;4.082.633;80.221;1.841.879;18.682;273.12;1.853.778;14.953;0.08;0.07;0.02;0.04;0.07;0.15;0.11;0.24;0.19;0.23;0.1;0.11;0.31;5792203.0;;163.998;28313.54
DJI;Djibouti;2020;0.351;0.356;;0.074;0.074;;;;;;;0.278;0.281;-12.66;-0.051;;18.91;0.558;;;;18.351;;0.0;0.0;;;;0.0;;0.0;0.0;;;;0.0;988002.0;;;
DMA;Dominica;2020;0.139;1.934;;;;;;;;;;0.139;1.934;-11.51;-0.018;;4.807;;;;;4.807;;0.0;;;;;0.0;;0.0;;;;;0.0;71991.0;;;
DOM;Dominican Republic;2020;27.769;2.56;;2.047;0.189;7.539;0.695;;;2.479;0.229;15.704;1.448;0.91;0.249;;747.717;51.253;57.718;;27.315;611.431;;0.08;0.13;0.05;;0.03;0.14;;0.04;0.12;0.01;;0.01;0.1;10847904.0;;;
ECU;Ecuador;2020;30.932;1.753;;2.287;0.13;;;1.246;0.071;1.083;0.061;26.316;1.492;-15.85;-5.826;0.173;1.197.709;66.504;;59.532;32.92;1.038.753;;0.09;0.14;;0.29;0.01;0.24;;0.07;0.15;;0.33;0.01;0.18;17643060.0;;179.213;10.157.683
EGY;Egypt;2020;213.457;2.086;;18.135;0.177;0.379;0.004;;;99.613;0.973;95.33;0.932;-5.5;-12.425;0.211;6.314.498;528.638;133.525;;1973.88;3.658.248;;0.61;1.12;0.0;;1.35;0.86;;0.37;1.22;0.02;;0.8;0.62;102334403.0;;1.013.053;9899.44
SLV;El Salvador;2020;6.124;0.944;;0.388;0.06;0.004;0.001;;;;;5.732;0.884;-10.64;-0.729;;231.87;18.028;0.101;;;213.74;;0.02;0.02;0.0;;;0.05;;0.01;0.04;0.0;;;0.04;6486201.0;;;
GNQ;Equatorial Guinea;2020;10.265;7.317;;;;;;5.818;4.147;3.517;2.507;0.93;0.663;-0.04;-0.005;;179.476;;;90.482;62.8;26.193;;0.03;;;1.34;0.05;0.01;;0.01;;;0.51;0.03;0.0;1402985.0;;;
ERI;Eritrea;2020;0.722;0.204;;0.108;0.031;;;;;;;0.614;0.173;-13.48;-0.113;;17.899;1.273;;;;16.626;;0.0;0.01;;;;0.01;;0.0;0.0;;;;0.0;3546427.0;;;
EST;Estonia;2020;10.452;7.88;;0.295;0.223;6.126;4.618;0.0;0.0;0.834;0.628;3.118;2.35;-15.57;-1.928;0.202;1.630.194;22.437;1.166.515;2.842;72.674;363.514;2.213;0.03;0.02;0.04;0.0;0.01;0.03;0.03;0.1;0.05;0.15;0.02;0.03;0.06;1326539.0;;51.767;39.024.296
SWZ;Eswatini;2020;0.956;0.824;;;;0.13;0.112;;;;;0.825;0.712;-5.64;-0.057;;40.69;;20.435;;;20.254;;0.0;;0.0;;;0.01;;0.0;;0.0;;;0.0;1160164.0;;;
ETH;Ethiopia;2020;14.665;0.128;;3.604;0.031;1.453;0.013;;;;;9.608;0.084;-10.42;-1.706;;258.571;36.82;12.094;;;209.657;;0.04;0.22;0.01;;;0.09;;0.02;0.09;0.0;;;0.04;114963583.0;;;
;Europe;2020;4.946.034;6.608;;110.112;0.147;1.146.776;1.532;76.214;0.102;1.781.935;2.381;1.770.029;2.365;-8.92;-484.204;0.181;531.155.791;8.897.593;284.398.653;2.491.335;81.893.666;151.365.914;2.108.629;14.21;6.77;8.21;17.52;24.08;15.99;20.48;31.31;20.61;36.07;14.0;33.39;25.54;748843405.0;;21.429.911;28.617.347
;Europe (excl. EU-27);2020;2.347.459;7.742;;36.796;0.121;548.955;1.81;55.496;0.183;1.029.194;3.394;652.704;2.152;-6.87;-173.069;0.197;241030.43;2.958.084;124.518.514;1.750.329;49767.24;61.205.804;830.459;6.74;2.26;3.93;12.76;13.91;5.89;8.17;14.21;6.85;15.79;9.84;20.29;10.33;;;;
;Europe (excl. EU-28);2020;2017.88;8.574;;32.347;0.137;526.309;2.236;50.991;0.217;872.369;3.707;514.858;2.188;-6.21;-133.638;0.202;162.869.285;2.437.889;67.697.593;1.458.854;42.764.729;47.787.774;722.446;5.8;1.99;3.77;11.72;11.79;4.65;7.06;9.6;5.65;8.59;8.2;17.44;8.06;;;;
;European Union (27);2020;2.598.575;5.836;;73.317;0.165;597.821;1.343;20.719;0.046;752.741;1.691;1.117.325;2.509;-10.69;-311.135;0.168;290125.36;5.939.509;159.880.139;741.007;32.126.427;90160.11;1.278.169;7.47;4.51;4.28;4.76;10.17;10.09;12.31;17.1;13.76;20.28;4.16;13.1;15.21;;;15.482.087;34.771.631
;European Union (28);2020;2.928.154;5.706;;77.765;0.152;620.467;1.209;25.223;0.049;909.566;1.773;1.255.172;2.446;-10.69;-350.566;0.169;368.286.506;6.459.704;216701.06;1.032.481;39.128.937;103578.14;1.386.183;8.41;4.78;4.44;5.8;12.29;11.34;13.42;21.71;14.97;27.49;5.8;15.96;17.48;;;;
FRO;Faeroe Islands;2020;0.684;13.996;;;;;;;;;;0.684;13.996;-7.08;-0.052;;30.637;;;;;30.399;;0.0;;;;;0.01;;0.0;;;;;0.01;48865.0;;;
FJI;Fiji;2020;1.393;1.554;;0.055;0.061;;;;;;;1.339;1.494;0.13;0.002;;49.429;2.413;;;;45.126;;0.0;0.0;;;;0.01;;0.0;0.01;;;;0.01;896444.0;;;
